Relativos a la mujer,Relativos a quien ejerce violencia,Relacionales,Contexto
Antecedentes de intento de autoeliminación,Incumplimiento de medidas cautelares.,Intentos de separación frustrados.,Fracaso en la búsqueda de ayuda.
Ideación suicida o ideas de dar muerte a otras personas (a quien ejerce violencia y/o a sus hijas/os) como única posibilidad de salida a su situación de violencia. ,Antecedentes penales de condena o proceso penal en curso por delitos contra la persona física,Separación reciente y/o formación de nueva pareja por parte de la mujer.,Aislamiento y carencia de red social de apoyo.
"Estado de crisis emocional actual (ansiedad y angustia evidente, alteraciones del sueño y alimentación).",Antecedentes de privación de libertad,Aumento de control sobre las actividades y relaciones.,Falta de autonomía económica.
"Vivencia de indefensión (anestesia afectiva, embotamiento).","Oposición, resistencia u obstaculización al normal desarrollo del proceso y demás actuaciones.",Cronicidad de la situación (duración y frecuencia de los episodios).,Pérdida de la vivienda y/o dificultades de acceso a la vivienda.
Cuadro depresivo grave diagnosticado sin tratamiento.,Amenazas graves y reiteradas de muerte o de ejercer violencia física.,"Aumento de la frecuencia, intensidad e impredecibilidad de la violencia.",Situación de calle.
Abuso de psicofármacos (toma medicación por fuera de la indicada).,"Acoso, control y amedrentamiento sitemático de la víctima directa o indirectamente (mensajes en redes sociales u otros medios electrónicos).",Amenazas de muerte.,Pobreza y pobreza extrema.
Enfermedades crónicas y/o discapacidades que generan dependencia.,Antecedentes de denuncias de violencia doméstica.,"Asimetría en la relación (por edad, género, autonomía económica, autonomía de tiempo, por discapacidad, redes, etc.)",Pérdida del empleo o carencia de ingresos propios.
"La víctima ha tenido que recibir atención de salud como consecuencia de las agresiones físicas, sexuales y/o psicológicas.",Antecedentes de conductas delictivas o formar parte de redes delictivas.,,
Consumo problemático de alcohol u otras drogas.,"Antecedentes de sustracción o destrucción de objetos, pertenencias y/o herramientas personales de la víctima.",,
Vínculos afectivos con personas a cargo o no que inhabilita la posibilidad de cambio.,Consumo problemático de alcohol u otras drogas.,,
Pareja o ex pareja vinculada a instituciones que dan respuesta a la temática de violencia basada en género.,Consumo de sustancias que favorezcan la impulsividad o pérdida de control.,,
Pareja o ex pareja con perfil público o con acceso a influencia o poder.,Trastornos psiquiátricos y/o psicológicos con descontrol de impulsos.,,
Grado de naturalización de la violencia.,"Comportamiento violento en varios contextos, no solo en el hogar",,
Antecedentes de violencia en la familia de origen.,Tenencia y/o acceso a armas de fuego.,,
Antecedentes de abuso sexual.,Acceso a medios letales por uso cotidiano.,,
