Dimensión,Indicador,Umbral
Vivienda decorosa,Materialidad ,"El hogar habita una vivienda con techos o paredes construidas predominantemente con materiales de desecho, o piso de tierra sin piso ni contrapiso."
,Espacio habitable,Más de dos miembros del hogar por habitación en la vivienda (excluyendo baño y cocina)
,Espacio apropiado para cocinar,El hogar habita una vivienda que no cuenta con un espacio para cocinar con canilla y pileta
Abastecimiento de agua potable,Origen y llegada del agua a la vivienda,"El agua no llega por cañería dentro de la vivienda que habita el hogar, o su origen no es red general o pozo surgente protegido."
Servicio higiénico,Acceso y calidad del servicio higiénico,"El hogar no accede a baño de uso exclusivo o la evacuación del servicio sanitario no es a través de la red general, fosa séptica o pozo negro."
Energía eléctrica,Acceso a energía eléctrica,El hogar no cuenta con energía eléctrica en la vivienda que habita.
Artefactos básicos de confort,Calefacción,El hogar no cuenta con ningún medio para calefaccionar la vivienda que habita.
,Conservación de alimentos,El hogar no cuenta con heladera o freezer.
,Calentador de agua para el baño,"El hogar no posee calefón, termofón, caldereta o calentador instantáneo."
Educación,Asistencia a enseñanza formal de niños y adolescentes,"Al menos un integrante del hogar con edad comprendida entre los 4 y los 17 años no se encuentra asistiendo a un centro educativo formal, no habiendo finalizado enseñanza secundaria."
